Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_129	429.66	266.6	309.28	253.87	386.37	236.41	442.65	415.59	376.33	21.74	18.84	356.79	16.35	165.14	2.96
transcript_1290	5.62	6.17	6.98	9.64	7.94	8.66	9.78	12.89	8.75	8.88	8.19	11.16	7.1	6.79	11.3
transcript_1291	55.14	85.02	62.62	75.17	78.97	8.56	9.63	17.48	21.17	29.8	32.11	50.83	60.24	67.14	1.85
transcript_1292	31.18	34.98	35.06	27.64	24.01	27.81	21.92	29.63	36.13	34.2	24.92	35.88	24.26	22.47	30.14
transcript_1293	21.9	24.37	25.16	19.13	17.91	21.24	15.45	16.11	18.37	19.68	18.58	11.96	15.54	9.81	11.61
transcript_1295	196.05	369.08	337.51	420.74	259.64	301.35	139.99	170.13	260.1	199.71	229.79	243.72	46.63	53.4	125.67
transcript_1297	16.66	14.83	21.12	18.5	7.45	10.01	9.59	11.16	14.16	19.89	4.94	12	4.18	10.1	11.57
transcript_1298	3.96	4.71	4.42	6.17	5.89	2.03	4.03	6.25	3.67	4.9	3	3	1.89	2.23	2.83
transcript_1299	102.82	132.54	129.29	75.88	74.81	72.06	52.01	60.31	48.45	75	60.41	55.21	44	26.39	49.49
transcript_13	563.66	533.53	538.33	471.51	375.28	877.22	538.93	430.1	378.7	1348.62	275.67	463.27	191.87	346.54	312.32
transcript_130	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1300	8.04	11.91	8.54	7.31	6.14	5.33	7.51	6.77	8.36	11.43	8.2	7.99	10.91	6.88	12.88
transcript_1301	14.49	16.81	11.65	8.33	8.43	12.76	7.05	4.99	8.03	9.2	10.99	5.26	5.93	4.47	5.54
transcript_1302	19.93	29.24	26.67	18.85	16.25	14.94	10.55	7.39	10	14.85	7.71	7.25	1.31	3.36	4.94
transcript_1303	8.51	6.18	11.43	6.72	7.53	6.03	5.9	6.93	7.59	8.14	7.1	5.95	5.46	5.34	6.21
transcript_1304	21.71	33.45	18.27	71.64	52.82	69.26	82.65	70.78	76.07	26.16	43.27	46.55	51.58	60.47	43.59
transcript_1305	3.24	1.22	2.18	12.06	2.35	22.16	6.72	2.69	3.85	1.46	3.61	3.26	14.73	29.21	5.06
transcript_1306	2.96	1.55	13.21	3.91	4.77	0.71	5.2	8.89	3.15	2.35	12.43	3.37	5.11	9.39	1.91
transcript_1307	0.91	0	0.61	2.38	0	0	0	1.29	0	0	2.74	1.77	0	4.02	1.64
transcript_1308	17.33	20.43	21.99	152.04	11.55	13.06	10.56	9.35	128.67	124.63	9.98	105.01	6.12	6.09	10.41
transcript_1309	12.45	18.25	21.7	14.39	18.55	17.57	12.36	10.7	10.58	9.57	9.88	8.42	7.43	5.4	6.66
transcript_131	5.35	6.99	7.13	6.77	5.94	7.55	7.23	8.2	9.28	9.52	7.99	7.92	9.88	9.86	11.58
